dice_id,brand,line,style,weight_g
01,Chessex (Factory 2nd),Opaque,Opaque Purple with White,6.2
02,Chessex (Factory 2nd),Opaque,Opaque Yellow with Black,5.9
03,Chessex (Factory 2nd),Speckled,Speckled Blue/Green with White,6.5
04,Chessex (Factory 2nd),Speckled,Speckled Light Blue with Black,6.5
05,Chessex (Factory 2nd),Translucent,Translucent Blue with White,4.9
06,Chessex (Factory 2nd),Translucent,Translucent Purple with White,5.5
07,Crystal Caste,Pearl,Blue Pearlized with White,4.8
08,Koplow,Opaque,Opaque Blue with White,6.1
09,Koplow,Opaque,Opaque Blue with White,6
10,Koplow,Opaque,Opaque White with Black,6.2
11,Koplow,Opaque,Opaque White with Black,6.1
12,Koplow,Opaque,Opaque Green with White,6.2
13,Koplow,Opaque,Opaque Green with White,6
14,Koplow,Opaque,Opaque Black with White,6.2
15,Koplow,Opaque,Opaque Red with White,6.1
16,Q-Workshop,Elven,White with Black,5.1
17,Q-Workshop,Tech,Blue with Black,5.6
18,GameScience,Opaque,Black,4.5
19,GameScience,Opaque,Black,4.4
20,GameScience,Opaque,Black,4.5
21,Chessex (Factory 2nd),Opaque,Opaque White with Black,6
22,Chessex (Factory 2nd),Two Tone,Red/Green Two Tone with White,6.1
23,Chessex (Factory 2nd),Pearl,Blue Pearlized with White,5.6
24,Chessex (Factory 2nd),Translucent,Transluscent Blue,4.9
25,Crystal Caste,Opaque,Yellow D'oh,5.8
26,GameScience,Opaque,White,4.6
27,GameScience,Opaque,Red,4.5
28,GameScience,Opaque,Gray,4.6
29,GameScience,Translucent,Translucent Yellow,5
30,GameScience,Translucent,Translucent Green,5
31,GameScience,Translucent,Translucent Blue,5.1
32,Wizards of the Coast,MTG Spindown,Opaque White with Black,9.7
33,Chessex,Gemini,Black & White with Red,5.7
34,Chessex,Opaque,Dark Gray with Black,5.9
35,Chessex,Opaque,Red with White,5.8
36,Chessex,Gemini,Purple & Red with Gold,5.7
37,Chessex,Translucent,Clear with White,5.4
38,Chessex,Speckled,Cobalt,6.2
39,Chessex,Vortex,Blue with Gold,5.6
40,Q-Workshop,Santa Set,Red & White,4.8
41,HengDa,Ancient,Ancient Copper with Black,6
42,Q-Workshop,Forest,Green with Black,4.9
43,Q-Workshop,Runic,Black with Yellow,4.8
44,Q-Workshop,Classic Runic,Green with Yellow,5.1
45,Q-Workshop,Elven,Translucent with Blue,5
46,Wiz Dice,Translucent,Black with White,5
47,Wiz Dice,Glitter,Pink with White,5.2
48,Wiz Dice,Glitter,Black with Gold,5.1
49,Wiz Dice,Glitter,Blue with White,5.3
50,Wiz Dice,Translucent,Teal with White,5.1
51,Wiz Dice,Translucent,Green with Gold,5.2
52,Wiz Dice,Translucent,Clear with White,5
53,Wiz Dice,Pearl,Purple with Gold,5.3
54,Wiz Dice,Pearl,Gold with Black,5.2
55,Wiz Dice,Pearl,Green with Gold,5.1
56,Handmade Dice,Dragon Breath Dice,Eye of the Beholder,6.6
57,Handmade Dice,Dice Penguin,Moss Dice,5.1
58,Handmade Dice,Smash Raptor Customs,Blood Money,5
59,Handmade Dice,Questing Tools,Cherry Cheesecake,4.3
60,Handmade Dice,Questing Tools,Unnamed Green,4.4
61,HengDa,Translucent,Azure Gems,5.5
62,HengDa,Opaque,Mint Rose,5.6
63,HengDa,Translucent,Sun Gems,5.5
64,HengDa,Ancient,Pink Ancient,5.9
65,HengDa,Blend,Blue Porcelain,5.7
66,HengDa,Particles,Ume Onigiri,6.2
67,HengDa,Aurora,River at Dusk,5.6
68,HengDa,Glitter,Universe,5.9
69,HengDa,Layers,Green Gradients,5.9
70,HengDa,Opaque,Blue with White,5.5
71,Udixi,Blend,"White, Caramel, Rose, Red, & Black",5.4
72,Udixi,Spotted,Bluish with Gold,5.6
73,Udixi,Spotted,Greenish with Yellow,5.6
74,Udixi,Blend,"Yellow, Blue, Purple, & Red",5.5
75,Udixi,Fragment,Colorful,6.2
76,Udixi,Shimmer,Gold Foil Green,6.8
77,Udixi,Regenerate,Blue,6.8
78,Udixi,Filled,Peach Hearts,7.5