dice_id,face_pair,diameter
01,1:20,20.11
01,2:19,19.92
01,3:18,19.59
01,4:17,19.54
01,5:16,19.62
01,6:15,19.57
01,7:14,19.92
01,8:13,19.96
01,9:12,19.73
01,10:11,19.73
02,1:20,20.19
02,2:19,19.94
02,3:18,19.70
02,4:17,19.69
02,5:16,19.58
02,6:15,19.58
02,7:14,19.95
02,8:13,19.89
02,9:12,19.63
02,10:11,19.58
03,1:20,20.14
03,2:19,19.96
03,3:18,19.75
03,4:17,19.69
03,5:16,19.61
03,6:15,19.61
03,7:14,19.99
03,8:13,19.97
03,9:12,19.74
03,10:11,19.70
04,1:20,20.34
04,2:19,20.05
04,3:18,19.75
04,4:17,19.78
04,5:16,19.81
04,6:15,19.80
04,7:14,20.15
04,8:13,20.10
04,9:12,19.74
04,10:11,19.73
05,1:20,18.30
05,2:19,18.74
05,3:18,19.05
05,4:17,19.00
05,5:16,18.93
05,6:15,18.93
05,7:14,18.60
05,8:13,18.68
05,9:12,19.08
05,10:11,19.22
06,1:20,19.84
06,2:19,19.73
06,3:18,19.47
06,4:17,19.76
06,5:16,19.70
06,6:15,19.59
06,7:14,19.87
06,8:13,19.92
06,9:12,19.53
06,10:11,19.75
07,1:20,18.84
07,2:19,18.91
07,3:18,18.94
07,4:17,18.84
07,5:16,18.85
07,6:15,18.86
07,7:14,18.88
07,8:13,18.89
07,9:12,19.06
07,10:11,19.00
08,1:20,19.00
08,2:12,18.98
08,3:17,18.96
08,4:16,18.87
08,5:19,18.91
08,6:14,18.90
08,7:13,19.00
08,8:18,18.85
08,9:15,18.89
08,10:11,18.91
09,1:20,19.08
09,2:12,18.85
09,3:17,19.04
09,4:16,19.12
09,5:19,18.92
09,6:14,19.07
09,7:13,19.04
09,8:18,19.15
09,9:15,18.91
09,10:11,19.05
10,1:20,18.90
10,2:12,18.87
10,3:17,18.90
10,4:16,18.95
10,5:19,18.88
10,6:14,18.81
10,7:13,18.88
10,8:18,18.90
10,9:15,18.89
10,10:11,18.86
11,1:20,18.91
11,2:12,18.84
11,3:17,18.80
11,4:16,18.96
11,5:19,18.91
11,6:14,19.01
11,7:13,18.88
11,8:18,19.04
11,9:15,18.89
11,10:11,18.79
12,1:20,18.99
12,2:12,19.15
12,3:17,19.10
12,4:16,19.15
12,5:19,18.90
12,6:14,18.92
12,7:13,19.00
12,8:18,19.12
12,9:15,18.89
12,10:11,18.97
13,1:20,18.98
13,2:12,18.97
13,3:17,18.98
13,4:16,18.89
13,5:19,18.97
13,6:14,18.95
13,7:13,19.04
13,8:18,18.93
13,9:15,18.92
13,10:11,18.87
14,1:20,18.86
14,2:12,18.82
14,3:17,18.79
14,4:16,18.92
14,5:19,18.80
14,6:14,18.87
14,7:13,18.83
14,8:18,18.91
14,9:15,18.80
14,10:11,18.85
15,1:20,18.95
15,2:12,19.08
15,3:17,18.88
15,4:16,18.88
15,5:19,19.01
15,6:14,18.86
15,7:13,19.13
15,8:18,18.89
15,9:15,18.98
15,10:11,18.76
16,1:20,19.33
16,2:19,19.20
16,3:18,19.19
16,4:17,19.10
16,5:16,19.26
16,6:15,19.37
16,7:14,19.27
16,8:13,19.28
16,9:12,19.32
16,10:11,19.29
17,1:20,19.79
17,2:19,19.63
17,3:18,19.70
17,4:17,19.80
17,5:16,19.72
17,6:15,19.69
17,7:14,19.88
17,8:13,19.65
17,9:12,19.38
17,10:11,19.43
18,1:20,19.15
18,2:19,19.10
18,3:18,19.10
18,4:17,19.10
18,5:16,19.10
18,6:15,19.15
18,7:14,19.16
18,8:13,19.10
18,9:12,19.12
18,10:11,19.12
19,1:20,19.14
19,2:19,19.11
19,3:18,19.08
19,4:17,19.18
19,5:16,19.08
19,6:15,19.19
19,7:14,19.15
19,8:13,19.09
19,9:12,19.10
19,10:11,19.10
20,1:20,19.15
20,2:19,19.15
20,3:18,19.18
20,4:17,19.26
20,5:16,19.20
20,6:15,19.21
20,7:14,19.25
20,8:13,19.19
20,9:12,19.22
20,10:11,19.14
21,1:20,19.66
21,2:19,19.52
21,3:18,19.25
21,4:17,19.26
21,5:16,19.33
21,6:15,19.30
21,7:14,19.56
21,8:13,19.60
21,9:12,19.20
21,10:11,19.27
22,1:20,19.85
22,2:19,19.69
22,3:18,19.32
22,4:17,19.36
22,5:16,19.41
22,6:15,19.40
22,7:14,19.71
22,8:13,19.75
22,9:12,19.39
22,10:11,19.39
23,1:20,20.05
23,2:19,20.01
23,3:18,20.02
23,4:17,19.88
23,5:16,20.00
23,6:15,19.96
23,7:14,20.01
23,8:13,20.00
23,9:12,20.03
23,10:11,19.88
24,1:20,18.33
24,2:19,18.70
24,3:18,19.00
24,4:17,19.09
24,5:16,18.87
24,6:15,18.85
24,7:14,18.55
24,8:13,18.63
24,9:12,19.06
24,10:11,19.33
25,1:20,20.43
25,2:19,20.31
25,3:18,20.01
25,4:17,20.13
25,5:16,20.17
25,6:15,20.18
25,7:14,20.38
25,8:13,20.32
25,9:12,20.03
25,10:11,20.03
26,1:20,18.99
26,2:19,19.34
26,3:18,18.84
26,4:17,19.04
26,5:16,19.23
26,6:15,18.81
26,7:14,19.14
26,8:13,18.88
26,9:12,19.23
26,10:11,18.82
27,1:20,19.01
27,2:19,19.01
27,3:18,18.93
27,4:17,19.01
27,5:16,19.06
27,6:15,19.05
27,7:14,19.02
27,8:13,19.01
27,9:12,19.04
27,10:11,18.96
28,1:20,19.02
28,2:19,19.00
28,3:18,18.93
28,4:17,18.97
28,5:16,19.00
28,6:15,19.02
28,7:14,19.01
28,8:13,18.97
28,9:12,19.00
28,10:11,18.96
29,1:20,19.05
29,2:19,19.00
29,3:18,19.01
29,4:17,19.10
29,5:16,19.04
29,6:15,19.10
29,7:14,19.08
29,8:13,19.02
29,9:12,19.07
29,10:11,19.02
30,1:20,19.01
30,2:19,18.95
30,3:18,18.95
30,4:17,18.96
30,5:16,18.99
30,6:15,19.05
30,7:14,19.01
30,8:13,18.96
30,9:12,19.02
30,10:11,18.99
31,1:20,19.01
31,2:19,18.96
31,3:18,18.93
31,4:17,18.99
31,5:16,19.00
31,6:15,18.99
31,7:14,19.01
31,8:13,18.95
31,9:12,19.00
31,10:11,18.98
32,1:20,22.06
32,2:16,21.80
32,3:17,21.50
32,4:18,21.53
32,5:19,21.81
32,6:11,21.79
32,7:12,21.98
32,8:13,22.06
32,9:14,21.95
32,10:15,21.76
33,1:20,20.01
33,2:19,19.89
33,3:18,19.87
33,4:17,19.83
33,5:16,20.02
33,6:15,19.95
33,7:14,19.91
33,8:13,20.03
33,9:12,19.96
33,10:11,20.01
34,1:20,19.82
34,2:19,19.69
34,3:18,19.32
34,4:17,19.34
34,5:16,19.33
34,6:15,19.35
34,7:14,19.68
34,8:13,19.69
34,9:12,19.33
34,10:11,19.31
35,1:20,20.00
35,2:19,19.84
35,3:18,19.60
35,4:17,19.60
35,5:16,19.57
35,6:15,19.58
35,7:14,19.85
35,8:13,19.84
35,9:12,19.62
35,10:11,19.61
36,1:20,20.01
36,2:19,19.86
36,3:18,19.85
36,4:17,19.90
36,5:16,19.99
36,6:15,19.95
36,7:14,19.99
36,8:13,19.98
36,9:12,19.86
36,10:11,19.87
37,1:20,19.51
37,2:19,19.59
37,3:18,19.30
37,4:17,19.23
37,5:16,19.32
37,6:15,19.27
37,7:14,19.57
37,8:13,19.61
37,9:12,19.25
37,10:11,19.30
38,1:20,20.35
38,2:19,20.06
38,3:18,19.74
38,4:17,19.80
38,5:16,19.77
38,6:15,19.77
38,7:14,20.11
38,8:13,20.10
38,9:12,19.78
38,10:11,19.77
39,1:20,20.06
39,2:19,19.91
39,3:18,19.87
39,4:17,19.92
39,5:16,20.01
39,6:15,20.03
39,7:14,20.08
39,8:13,20.01
39,9:12,19.88
39,10:11,19.91
40,1:20,19.23
40,2:19,19.31
40,3:18,19.30
40,4:17,19.16
40,5:16,19.10
40,6:15,19.08
40,7:14,19.11
40,8:13,19.14
40,9:12,19.04
40,10:11,19.12
41,1:20,20.25
41,2:19,20.16
41,3:18,19.89
41,4:17,19.85
41,5:16,19.91
41,6:15,20.10
41,7:14,20.22
41,8:13,20.16
41,9:12,20.01
41,10:11,19.84
42,1:20,18.81
42,2:19,19.25
42,3:18,19.04
42,4:17,18.64
42,5:16,18.81
42,6:15,18.86
42,7:14,18.72
42,8:13,18.50
42,9:12,19.01
42,10:11,18.38
43,1:20,19.07
43,2:19,19.21
43,3:18,19.16
43,4:17,19.03
43,5:16,19.12
43,6:15,19.06
43,7:14,19.05
43,8:13,19.01
43,9:12,18.95
43,10:11,19.05
44,1:20,19.47
44,2:19,19.41
44,3:18,19.44
44,4:17,19.49
44,5:16,19.46
44,6:15,19.44
44,7:14,19.40
44,8:13,19.49
44,9:12,19.45
44,10:11,19.53
45,1:20,18.97
45,2:19,19.02
45,3:18,18.93
45,4:17,18.81
45,5:16,18.92
45,6:15,19.11
45,7:14,18.91
45,8:13,18.95
45,9:12,19.15
45,10:11,18.99
46,1:20,19.68
46,2:19,19.64
46,3:18,19.69
46,4:17,19.72
46,5:16,19.68
46,6:15,19.68
46,7:14,19.71
46,8:13,19.67
46,9:12,19.55
46,10:11,19.61
47,1:20,19.79
47,2:19,19.74
47,3:18,19.76
47,4:17,19.70
47,5:16,19.66
47,6:15,19.54
47,7:14,19.69
47,8:13,19.77
47,9:12,19.76
47,10:11,19.72
48,1:20,19.70
48,2:19,19.64
48,3:18,19.67
48,4:17,19.67
48,5:16,19.66
48,6:15,19.62
48,7:14,19.69
48,8:13,19.71
48,9:12,19.59
48,10:11,19.62
49,1:20,19.73
49,2:19,19.70
49,3:18,19.66
49,4:17,19.63
49,5:16,19.56
49,6:15,19.52
49,7:14,19.65
49,8:13,19.69
49,9:12,19.65
49,10:11,19.69
50,1:20,19.74
50,2:19,19.63
50,3:18,19.75
50,4:17,19.87
50,5:16,19.75
50,6:15,19.84
50,7:14,19.87
50,8:13,19.69
50,9:12,19.50
50,10:11,19.58
51,1:20,19.75
51,2:19,19.66
51,3:18,19.76
51,4:17,19.74
51,5:16,19.68
51,6:15,19.68
51,7:14,19.77
51,8:13,19.67
51,9:12,19.57
51,10:11,19.63
52,1:20,19.72
52,2:19,19.73
52,3:18,19.77
52,4:17,19.76
52,5:16,19.60
52,6:15,19.63
52,7:14,19.72
52,8:13,19.71
52,9:12,19.70
52,10:11,19.68
53,1:20,19.86
53,2:19,19.80
53,3:18,19.80
53,4:17,19.88
53,5:16,19.86
53,6:15,19.87
53,7:14,19.89
53,8:13,19.87
53,9:12,19.78
53,10:11,19.85
54,1:20,19.83
54,2:19,19.77
54,3:18,19.82
54,4:17,19.88
54,5:16,19.75
54,6:15,19.82
54,7:14,19.86
54,8:13,19.80
54,9:12,19.69
54,10:11,19.74
55,1:20,19.73
55,2:19,19.68
55,3:18,19.74
55,4:17,19.77
55,5:16,19.66
55,6:15,19.68
55,7:14,19.74
55,8:13,19.69
55,9:12,19.60
55,10:11,19.65
56,1:20,20.52
56,2:19,20.51
56,3:18,20.58
56,4:17,20.62
56,5:16,20.39
56,6:15,20.58
56,7:14,20.51
56,8:13,20.57
56,9:12,20.73
56,10:11,20.73
57,1:20,19.79
57,2:19,19.38
57,3:18,19.61
57,4:17,19.60
57,5:16,19.71
57,6:15,19.70
57,7:14,19.67
57,8:13,19.54
57,9:12,19.63
57,10:11,19.61
58,1:20,20.00
58,2:19,19.52
58,3:18,19.55
58,4:17,19.62
58,5:16,19.48
58,6:15,19.44
58,7:14,19.77
58,8:13,19.52
58,9:12,19.46
58,10:11,19.52
59,1:20,18.72
59,2:19,18.69
59,3:18,18.76
59,4:17,18.80
59,5:16,18.73
59,6:15,18.76
59,7:14,18.66
59,8:13,18.75
59,9:12,18.70
59,10:11,18.72
60,1:20,18.73
60,2:19,18.79
60,3:18,18.81
60,4:17,18.78
60,5:16,18.84
60,6:15,18.82
60,7:14,18.72
60,8:13,18.80
60,9:12,18.73
60,10:11,18.81
61,1:20,19.59
61,2:19,19.58
61,3:18,19.57
61,4:17,19.60
61,5:16,19.48
61,6:15,19.44
61,7:14,19.57
61,8:13,19.57
61,9:12,19.50
61,10:11,19.58
62,1:20,19.90
62,2:19,19.91
62,3:18,19.86
62,4:17,19.91
62,5:16,19.80
62,6:15,19.85
62,7:14,20.02
62,8:13,19.85
62,9:12,19.73
62,10:11,19.70
63,1:20,19.47
63,2:19,19.52
63,3:18,19.63
63,4:17,19.60
63,5:16,19.60
63,6:15,19.54
63,7:14,19.53
63,8:13,19.57
63,9:12,19.60
63,10:11,19.62
64,1:20,19.84
64,2:19,20.03
64,3:18,19.95
64,4:17,19.86
64,5:16,19.82
64,6:15,19.80
64,7:14,19.96
64,8:13,19.94
64,9:12,19.87
64,10:11,19.86
65,1:20,20.32
65,2:19,20.20
65,3:18,19.91
65,4:17,19.94
65,5:16,19.95
65,6:15,19.96
65,7:14,20.25
65,8:13,20.23
65,9:12,19.88
65,10:11,19.93
66,1:20,19.76
66,2:19,20.02
66,3:18,20.01
66,4:17,19.90
66,5:16,20.05
66,6:15,19.97
66,7:14,19.85
66,8:13,20.03
66,9:12,20.03
66,10:11,20.00
67,1:20,20.40
67,2:19,20.24
67,3:18,19.99
67,4:17,20.07
67,5:16,20.07
67,6:15,20.09
67,7:14,20.34
67,8:13,20.30
67,9:12,19.94
67,10:11,20.01
68,1:20,19.84
68,2:19,20.04
68,3:18,19.72
68,4:17,19.40
68,5:16,19.77
68,6:15,19.83
68,7:14,19.85
68,8:13,19.69
68,9:12,19.72
68,10:11,19.44
69,1:20,20.44
69,2:19,20.15
69,3:18,19.85
69,4:17,19.71
69,5:16,19.82
69,6:15,19.86
69,7:14,20.10
69,8:13,20.05
69,9:12,19.90
69,10:11,19.71
70,1:20,19.56
70,2:19,19.50
70,3:18,19.62
70,4:17,19.62
70,5:16,19.78
70,6:15,19.81
70,7:14,19.69
70,8:13,19.60
70,9:12,19.51
70,10:11,19.52
71,1:20,19.79
71,2:19,19.73
71,3:18,19.81
71,4:17,19.86
71,5:16,19.76
71,6:15,19.76
71,7:14,19.85
71,8:13,19.73
71,9:12,19.69
71,10:11,19.73
72,1:20,19.96
72,2:19,19.94
72,3:18,19.89
72,4:17,19.90
72,5:16,19.87
72,6:15,19.89
72,7:14,19.95
72,8:13,19.94
72,9:12,19.88
72,10:11,19.88
73,1:20,20.00
73,2:19,19.96
73,3:18,19.94
73,4:17,19.92
73,5:16,19.92
73,6:15,19.91
73,7:14,20.00
73,8:13,19.97
73,9:12,19.92
73,10:11,19.92
74,1:20,19.82
74,2:19,19.78
74,3:18,19.82
74,4:17,19.86
74,5:16,19.77
74,6:15,19.80
74,7:14,19.87
74,8:13,19.75
74,9:12,19.73
74,10:11,19.76
75,1:20,20.47
75,2:19,20.30
75,3:18,20.07
75,4:17,19.94
75,5:16,19.87
75,6:15,20.16
75,7:14,20.32
75,8:13,20.12
75,9:12,20.80
75,10:11,19.84
76,1:20,21.03
76,2:19,21.08
76,3:18,20.78
76,4:17,20.52
76,5:16,20.67
76,6:15,20.80
76,7:14,20.93
76,8:13,20.88
76,9:12,20.75
76,10:11,20.45
77,1:20,20.72
77,2:19,20.82
77,3:18,20.68
77,4:17,20.64
77,5:16,20.58
77,6:15,20.76
77,7:14,20.90
77,8:13,20.88
77,9:12,20.61
77,10:11,20.51
78,1:20,22.32
78,2:19,21.61
78,3:18,20.92
78,4:17,21.03
78,5:16,20.76
78,6:15,20.62
78,7:14,21.30
78,8:13,21.70
78,9:12,20.75
78,10:11,21.02